Team Name,Season,EPA/Play,Success %,EPA/Pass,EPA/Rush,Pass Yards,Completion %,Pass TD,Rush Yards,Rush TD,PROE
1. Washington Commanders,2024,0.24,48.4%,0.25,0.1,1402,74.56%,6,13,0.7%,7.22
2. Baltimore Ravens,2024,0.18,50.5%,0.27,0.11,1530,67.23%,10,10,-8%,7.72
3. Buffalo Bills,2024,0.16,45.7%,0.23,0,1165,62.89%,10,9,-3.4%,8.72
4. Detroit Lions,2024,0.14,49.2%,0.17,0.13,1373,71.24%,9,9,-5.3%,7.18
5. Cincinnati Bengals,2024,0.13,47.5%,0.19,-0.05,1578,71.64%,12,6,5.7%,6.57
6. Tampa Bay Buccaneers,2024,0.1,49.3%,0.08,0.03,1489,70.9%,15,5,5.7%,5.58
7. San Francisco 49ers,2024,0.1,46.3%,0.19,-0.04,1629,65.41%,9,5,-2.3%,9.77
8. Atlanta Falcons,2024,0.07,45.9%,0.13,-0.05,1598,66.35%,9,4,-2.6%,7.31
9. Green Bay Packers,2024,0.06,41.3%,0.11,-0.06,1455,61.67%,14,3,-7.8%,8.45
10. Kansas City Chiefs,2024,0.05,51.1%,0.03,0,1235,69.38%,6,5,1.2%,5.24
11. Philadelphia Eagles,2024,0.05,45.4%,0.02,0.02,1194,67.52%,6,6,-3.2%,7.81
12. Indianapolis Colts,2024,0.04,40.9%,0.03,-0.09,1394,59.68%,10,7,-3.7%,10.44
13. Minnesota Vikings,2024,0.02,46.5%,0.03,-0.13,1135,63.77%,11,3,4.6%,9.26
14. Arizona Cardinals,2024,0.02,45.5%,0.01,-0.07,1186,68.24%,8,4,-6.7%,8.02
15. Seattle Seahawks,2024,0.01,46.3%,-0.01,-0.09,1778,68.92%,6,9,6.3%,6.71
16. Houston Texans,2024,0.01,40%,0.1,-0.18,1669,67.57%,10,5,-0.3%,7.34
17. New Orleans Saints,2024,0,42.8%,-0.02,0,1249,64.77%,9,10,-6.1%,8.14
18. Los Angeles Rams,2024,0,49.2%,-0.08,0.04,1238,67.05%,3,6,-3.7%,7.47
19. Pittsburgh Steelers,2024,0,42.1%,0.02,-0.11,1125,66.46%,5,6,-6.9%,7.69
20. Chicago Bears,2024,-0.01,42.5%,-0.05,-0.12,1317,65.33%,9,7,-0.7%,7.56
21. Jacksonville Jaguars,2024,-0.03,40.9%,-0.08,0.01,1362,61%,8,4,0.1%,9.06
22. New York Jets,2024,-0.03,41.2%,0,-0.16,1423,62.22%,10,3,2.1%,6.94
23. Los Angeles Chargers,2024,-0.05,39.7%,0,-0.1,839,64.57%,6,3,-7.3%,7.62
24. New York Giants,2024,-0.06,42%,-0.04,-0.15,1343,61.82%,6,3,-1%,7.26
25. Dallas Cowboys,2024,-0.07,40.9%,-0.11,-0.07,1654,63.45%,8,2,0.3%,7.95
26. Denver Broncos,2024,-0.13,39.6%,-0.21,-0.1,1082,61.11%,5,4,-0.4%,7.94
27. Carolina Panthers,2024,-0.15,39.3%,-0.24,-0.06,1199,62.5%,7,4,-3.4%,7.29
28. Tennessee Titans,2024,-0.15,38.9%,-0.35,-0.01,784,64.79%,5,5,-7.1%,7.6
29. Las Vegas Raiders,2024,-0.17,41%,-0.11,-0.4,1417,68.4%,6,6,-0.1%,6.83
30. New England Patriots,2024,-0.18,40%,-0.29,-0.15,961,58.52%,5,3,-6.7%,6.69
31. Cleveland Browns,2024,-0.2,33.9%,-0.26,-0.14,1036,61.5%,5,2,1.6%,7.28
32. Miami Dolphins,2024,-0.21,36.9%,-0.25,-0.26,1039,62.11%,2,3,-10.9%,7.48
